ID;Variant SKU
8143823143128;MX-600057-00019-0001
8144485941464;MX-600287-00019-0001
8146646892760;MX-600364-00019-0001
8149936636120;MX-600199-00019-0001
8149936636120;MX-600192-00019-0001
8150186393816;MX-600001-00019-0001
8150977151192;MX-600274-00019-0001
8150978003160;MX-600043-00048-0001
8150979182808;MX-600005-00019-0001
8150980755672;MX-600053-00048-0001
8150981312728;MX-600012-00019-0001
8150981738712;100619-00049-0001
8150982557912;MX-600355-00019-0001
8151065329880;MX-600248-00019-0002
8151065329880;MX-600247-00019-0002
8151067951320;MX-600244-00019-0001
8151068704984;MX-600082-00019-0001
8151069982936;MX-600083-00019-0001
8151071129816;MX-600261-00019-0001
8151072276696;MX-600098-00019-0001
8151074373848;MX-600113-00019-0001
8151074373848;MX-600114-00019-0001
8151075258584;MX-600111-00019-0001
8151075258584;MX-600112-00019-0001
8151076765912;MX-600130-00019-0001
8154476806360;MX-600326-00038-0001
8154476806360;MX-600326-00070-0001
8154476806360;MX-600326-00044-0001
8155033600216;MX-600308-00019-0001
8155033665752;MX-600345-00019-0001
8155033698520;MX-600000-00019-0001
8155033731288;MX-600002-00019-0001
8155033764056;MX-600032-00019-0001
8155033796824;MX-600035-00048-0001
8155597766872;MX-600013-00019-0001
8155597799640;MX-600053-00019-0001
8155602813144;MX-600350-00019-0001
8155602813144;MX-600351-00019-0001
8155602813144;MX-600352-00019-0001
8155602813144;MX-600353-00019-0001
8155608907992;MX-600340-00019-0001
8155610644696;MX-600306-00019-0001
8155610677464;MX-600307-00019-0001
8155610710232;MX-600285-00019-0001
8155610775768;MX-600286-00019-0001
8155610808536;MX-600041-00019-0001
8155610972376;MX-600008-00019-0001
8155686666456;MX-600326-00070-0002
8155689189592;MX-600284-00019-0001
8155689222360;MX-600330-00019-0001
8155693940952;MX-600095-00019-0001
8155693973720;MX-600096-00019-0001
8155727855832;MX-600258-00019-0001
8155727855832;MX-600259-00019-0001
8155727855832;MX-600260-00019-0001
8155727954136;MX-600241-00019-0001
8155744469208;MX-600028-00019-0001
8155757248728;MX-600332-00038-0001
8155757314264;MX-600332-00019-0001
8155757379800;MX-600074-00038-0001
8155757445336;MX-600074-00019-0001
8155757510872;MX-600300-00019-0001
8155757576408;MX-600299-00019-0001
8155757609176;MX-600357-00019-0001
8155757609176;MX-600357-00019-0002
8155757609176;MX-600357-00019-0003
8155757707480;MX-600303-00019-0001
8155770912984;MX-600347-00019-0001
8155773501656;MX-600023-00019-0001
8155773534424;MX-600027-00019-0001
8155773599960;MX-600079-00019-0001
8155773632728;MX-600080-00019-0001
8155773665496;MX-600025-00019-0001
8155773698264;MX-MU001-00002-0000
8155773731032;MX-600024-00019-0002
8155779530968;MX-600289-00019-0001
8155779563736;MX-600288-00019-0001
8155779596504;MX-600335-00019-0001
8155779629272;MX-600336-00019-0001
8155779662040;MX-600290-00019-0001
8155779727576;MX-600291-00019-0001
8155779760344;MX-600064-00019-0001
8155779793112;MX-600065-00019-0001
8155779825880;MX-600324-00019-001
8155779891416;MX-600325-00019-001
8155786674392;MX-600188-00019-0001
8155786707160;MX-600305-00019-0001
8155786772696;MX-600341-00019-0001
8155786805464;MX-600359-00019-0001
8155786838232;MX-600360-00019-0001
8155786871000;MX-600361-00019-0001
8155786936536;MX-600173-00019-0001
8155786936536;MX-600239-00019-0001
8155787002072;MX-600164-00019-0001
8155787034840;MX-600184-00019-0001
8155817050328;MX-600153-00019-0001
8155817083096;MX-600156-00019-0001
8155817115864;MX-600158-00019-0001
8155817181400;MX-600155-00019-0001
8155817214168;MX-600262-00019-0001
8157953655000;100951-00019-0005
8157953655000;100951-00019-0007
8157953655000;100951-00019-0010
8157953655000;100951-00019-0016
8157953655000;100951-00019-0020
8157953655000;100951-00019-0025
8157953655000;100951-00019-0029
8158667538648;100946-00001-0010
8158667538648;100946-00001-0016
8158667538648;100946-00001-0020
8158667538648;100946-00001-0025
8158667538648;100946-00001-0029
8158667931864;100119-00022-0001
8158667997400;100148-00004-0001
8158668095704;100151-00004-0001
8158668161240;100154-00004-0001
8158668226776;100156-00004-0001
8158668292312;100159-00004-0001
8158668390616;100169-00004-0001
8158668488920;100271-00044-0001
8158668587224;100491-00008-0006
8158668587224;100491-00008-0008
8158668587224;100491-00008-0009
8158668587224;100491-00008-0011
8158668587224;100491-00008-0014
8158668587224;100491-00008-0016
8158668587224;100491-00008-0017
8158668587224;100491-00008-0019
8158668587224;100491-00008-0021
8158668587224;100491-00008-0024
8158668587224;100491-00008-0025
8158668587224;100491-00008-0167
8158668587224;100491-00008-0028
8158668587224;100491-00008-0177
8158668587224;100491-00008-0031
8158668587224;100491-00008-0032
8158668587224;100491-00008-0034
8158670651608;100897-00019-0001
8158670717144;100917-00019-0001
8158670782680;100990-00003-0005
8158670782680;100990-00003-0007
8158670782680;100990-00003-0010
8158670782680;100990-00003-0016
8158670782680;100990-00003-0020
8158670782680;100990-00003-0025
8158671274200;100618-00049-0001
8158671667416;100798-00019-0001
8158672191704;101178-00019-0001
8158672257240;101025-00019-0001
8158672617688;100780-00008-0007
8158672617688;100780-00008-0010
8158672617688;100780-00008-0013
8158672617688;100780-00008-0016
8158672617688;100780-00008-0018
8158672617688;100780-00008-0020
8158672617688;100780-00008-0023
8158672617688;100780-00008-0025
8158672617688;100780-00008-0026
8158672617688;100780-00008-0029
8158672617688;100780-00008-0030
8158672617688;100780-00008-0032
8158672617688;100780-00008-0035
8158672617688;100780-00008-0036
8158672617688;100780-00008-0037
8158672617688;100780-00008-0039
8158672617688;100780-00008-0040
8158672617688;100780-00008-0041
8158672617688;100780-00008-0042
8158672617688;100780-00008-0043
8158674092248;100599-00004-0094
8158674092248;100599-00004-0097
8158674092248;100599-00004-0099
8158674092248;100599-00004-0101
8158674092248;100599-00004-0102
8158674092248;100599-00004-0104
8158674092248;100599-00004-0105
8158674092248;100599-00004-0107
8158674092248;100599-00004-0108
8158674092248;100599-00004-0109
8158680350936;100582-00009-0005
8158680350936;100582-00009-0007
8158680350936;100582-00009-0010
8158680350936;100582-00009-0016
8158680350936;100582-00009-0020
8158680350936;100582-00009-0025
8158680350936;100582-00009-0029
8158680350936;100632-00009-0111
8158680350936;100631-00009-0115
8158681661656;100584-00004-0062
8158681759960;100585-00004-0058
8158681825496;100794-00019-0001
8158681825496;100794-00022-0001
8158682284248;100779-00004-0068
8158682317016;100710-00004-0075
8158682579160;101008-00097-0075
8158682579160;101008-00024-0075
8158682579160;101008-00016-0075
8158682677464;101053-00004-0010
8158683431128;100524-00033-0134
8158683431128;100524-00038-0134
8158683431128;100524-00041-0134
8158683431128;100524-00019-0134
8158683562200;101005-00019-0075
8158683562200;101005-00038-0075
8158683562200;101005-00030-0075
8158683562200;101005-00044-0075
8158683889880;101187-00002-0005
8158683889880;101187-00002-0007
8158683889880;101187-00002-0010
8158683889880;101187-00002-0016
8158683889880;101187-00002-0020
8158683889880;101187-00002-0025
8158683889880;101187-00002-0029
8158684381400;101130-00004-0001
8158684446936;101037-00019-0001
8158684512472;100172-00004-0001
8158684545240;100743-00060-0001
8158684610776;100518-00008-0006
8158684610776;100518-00008-0009
8158684610776;100518-00008-0011
8158684610776;100518-00008-0014
8158684610776;100518-00008-0016
8158684610776;100518-00008-0018
8158684610776;100518-00008-0020
8158684610776;100518-00008-0023
8158684610776;100518-00008-0025
8158684610776;100518-00008-0026
8158684610776;100518-00008-0029
8158684610776;100518-00008-0030
8158684610776;100518-00008-0032
8158684610776;100518-00008-0035
8158684610776;100518-00008-0036
8158684610776;100518-00008-0037
8158684610776;100518-00008-0039
8158684610776;100518-00008-0040
8158684610776;100518-00008-0041
8158684610776;100518-00008-0042
8158684610776;100518-00008-0043
8158685167832;101019-00019-0001
8158685724888;101155-00008-0001
8158685757656;100824-00004-0074
8158686019800;100557-00037-0014
8158686019800;100557-00030-0017
8158686019800;100557-00032-0021
8158686019800;100557-00040-0025
8158686019800;100557-00034-0028
8158686019800;100557-00036-0031
8158686019800;100557-00038-0034
8158686019800;100557-00033-0036
8158686183640;100740-00049-0001
8158686216408;101115-00019-0001
8161255456984;MX-600044-00048-0001
8161312768216;MX-600054-00048-0001
8162338963672;MX-600020-00019-0001
8162338996440;MX-600019-00019-0001
8162339061976;MX-600066-00019-0001
8162339127512;MX-600329-00019-0001
8162355970264;MX-600081-00019-0001
8162362130648;MX-600362-00019-0001
8162362327256;MX-600363-00019-0001
8163396845784;MX-600084-00019-0001
8163396944088;MX-600304-00019-0001
8163397042392;MX-600085-00019-0001
8163397042392;MX-600172-00019-0001
8163397042392;MX-600182-00019-0001
8163397075160;MX-600202-00019-0001
8163397140696;MX-600411-00019-0001
8163397173464;MX-600412-00019-0001
8164522688728;MX-610131-00019-0001
8164522787032;MX-600126-00019-0001
8168270102744;MX-600344-00019-0001
8188330967256;MX-600078-00019-0001
